"nama","genre","asal"
"Non Dera Anggia Putri Prawitasari","http://id.dbpedia.org/resource/Indie","Indonesia"
"Lia Ladysta","http://id.dbpedia.org/resource/Dangdut","http://id.dbpedia.org/resource/Indonesia"
"Lia Ladysta","http://id.dbpedia.org/resource/Dangdut","http://id.dbpedia.org/resource/Lamongan,_Jawa_Timur"
"8 Ball","http://id.dbpedia.org/resource/Rap","Maluku"
"8 Ball","http://id.dbpedia.org/resource/Hip_hop","Maluku"
"8 Ball","http://id.dbpedia.org/resource/Trance","Maluku"
"Yes Hip Hop","http://id.dbpedia.org/resource/Rap","Singkawang"
"Yes Hip Hop","http://id.dbpedia.org/resource/Hip_hop","Singkawang"
"Wizzow","http://id.dbpedia.org/resource/Hip-hop","Jakarta, Indonesia"
"Wizzow","http://id.dbpedia.org/resource/Rap","Jakarta, Indonesia"
"Sanny Saofit Sunendar","Pop Progressive/Alternative","Jakarta, Jawa Barat"
"Luky Annash","http://id.dbpedia.org/resource/Alternative_Rock","Jakarta"
"Luky Annash","http://id.dbpedia.org/resource/Piano_Rock","Jakarta"
"Luky Annash","http://id.dbpedia.org/resource/Klasik","Jakarta"
"Adera","http://id.dbpedia.org/resource/Jazz","Jakarta, Indonesia"
"Adera","http://id.dbpedia.org/resource/Pop","Jakarta, Indonesia"
"Andania Suri","http://id.dbpedia.org/resource/Musik_dansa","http://id.dbpedia.org/resource/Indonesia"
"Andania Suri","http://id.dbpedia.org/resource/Musik_dansa","http://id.dbpedia.org/resource/Kota_Jakarta"
"Andania Suri","http://id.dbpedia.org/resource/R&B","http://id.dbpedia.org/resource/Indonesia"
"Andania Suri","http://id.dbpedia.org/resource/R&B","http://id.dbpedia.org/resource/Kota_Jakarta"
"Andania Suri","http://id.dbpedia.org/resource/Musik_soul","http://id.dbpedia.org/resource/Indonesia"
"Andania Suri","http://id.dbpedia.org/resource/Musik_soul","http://id.dbpedia.org/resource/Kota_Jakarta"
"Andania Suri","http://id.dbpedia.org/resource/Pop","http://id.dbpedia.org/resource/Indonesia"
"Andania Suri","http://id.dbpedia.org/resource/Pop","http://id.dbpedia.org/resource/Kota_Jakarta"
"Andania Suri","http://id.dbpedia.org/resource/Hip_hop","http://id.dbpedia.org/resource/Indonesia"
"Andania Suri","http://id.dbpedia.org/resource/Hip_hop","http://id.dbpedia.org/resource/Kota_Jakarta"
"Arin","http://id.dbpedia.org/resource/Pop","Manado, Sulawsi Utara, Indonesia"
"Vienna Fridiana","http://id.dbpedia.org/resource/Pop","Palembang, Sumatera Selatan, Indonesia"
"Cassanova Alfonso","http://id.dbpedia.org/resource/Jazz","Jakarta, DKI Jakarta, Indonesia"
"Cassanova Alfonso","http://id.dbpedia.org/resource/R&B","Jakarta, DKI Jakarta, Indonesia"
"Sam Saimun","Pop, Pop Melayu, Keroncong",", Indonesia"
"Aditya (penyanyi)","http://id.dbpedia.org/resource/Jazz","Jakarta, DKI Jakarta, Indonesia"
"Aditya (penyanyi)","http://id.dbpedia.org/resource/Pop","Jakarta, DKI Jakarta, Indonesia"
"Dea Mongkar","http://id.dbpedia.org/resource/Pop","Indonesia"
"Dea Mongkar","http://id.dbpedia.org/resource/Gospel","Indonesia"
"Sarasvati","http://id.dbpedia.org/resource/Pop","Bandung, Jawa Barat, Indonesia"
"Sarasvati","http://id.dbpedia.org/resource/Indie","Bandung, Jawa Barat, Indonesia"
"Sarasvati","http://id.dbpedia.org/resource/Alternatif","Bandung, Jawa Barat, Indonesia"
"Sarasvati","http://id.dbpedia.org/resource/Gothic","Bandung, Jawa Barat, Indonesia"
"Ayu Laksmi","http://id.dbpedia.org/resource/Pop","Singaraja, Buleleng, Bali, Indonesia"
"Ayu Laksmi","http://id.dbpedia.org/resource/Rock","Singaraja, Buleleng, Bali, Indonesia"
"Ayu Laksmi","http://id.dbpedia.org/resource/World_music","Singaraja, Buleleng, Bali, Indonesia"
"Ayu Laksmi","http://id.dbpedia.org/resource/Ethnic","Singaraja, Buleleng, Bali, Indonesia"
"Ria Amelia","http://id.dbpedia.org/resource/Dangdut","Bukittinggi, Sumatera Barat"
"Ria Amelia","http://id.dbpedia.org/resource/Pop","Bukittinggi, Sumatera Barat"
"Ria Amelia","http://id.dbpedia.org/resource/Folk","Bukittinggi, Sumatera Barat"
"Ria Amelia","http://id.dbpedia.org/resource/Slow_rock","Bukittinggi, Sumatera Barat"
"Ria Amelia","http://id.dbpedia.org/resource/Dangdut_house","Bukittinggi, Sumatera Barat"
"Wawa Marisa","http://id.dbpedia.org/resource/Dangdut","Jakarta, DKI Jakarta, Indonesia"
"Sisi","http://id.dbpedia.org/resource/Pop","Jakarta, DKI Jakarta, Indonesia"
"Sisi","http://id.dbpedia.org/resource/Gospel","Jakarta, DKI Jakarta, Indonesia"
"Iyeth Bustami","dangdut, pop melayu","Bengkalis, Riau, Indonesia"
"Herlin Widhaswara","http://id.dbpedia.org/resource/Disko","Bandung, Jawa Barat, Indonesia"
"Herlin Widhaswara","http://id.dbpedia.org/resource/Pop","Bandung, Jawa Barat, Indonesia"
"Matthew Sayersz","http://id.dbpedia.org/resource/Jazz","Bandung, Jawa Barat, Indonesia"
"Matthew Sayersz","http://id.dbpedia.org/resource/R&B","Bandung, Jawa Barat, Indonesia"
"Matthew Sayersz","http://id.dbpedia.org/resource/Pop","Bandung, Jawa Barat, Indonesia"
